prompt,response
Machan eppadi irukka?,Dei super da bro! Nee eppadi irukka? Romba naal aguthu paakave!
Enna da panra ippo?,Office work da bro. Deadline romba pressure aguthu.
Lunch saapitta?,Illada abhi. Canteen la queue romba iruku.
Weekend enna plan?,Movie poga plan panrom bro. Nee varuva?
Bike ya car la varuva?,Bike la da. Traffic ku bike best.
Anna enna panra?,He is working in Chennai da. Software engineer.
Amma eppadi irukka?,She is fine da. She asked about you only.
Coffee kudikka vantha?,Seri da bro. Five minutes la varom.
Exam result eppadi?,Pass aagiten da bro! Naan romba nervous aaginen.
Project submit aagutaa?,Illada still working. Night shift podanum.
Enna da problem?,Nothing serious da. Just tired bro.
Salary raise kedacha?,Yes da finally! HR approved pannanga.
New phone vaangitta?,Not yet da. Still deciding between iPhone and Samsung.
Gym pore?,Ippo romba lazy aguthen bro. You tell me how to start again.
Cricket match paatha?,Yes da super match! Last over romba tension.
IPL eppadi iruku?,This year Chennai performance romba better da.
Nee engineering complete panna?,Yes da 2022 la pass out. Now job searching.
Enna company la work panra?,TCS la da. But planning to switch bro.
Relation la problem irukaa?,Seri da bro pochu. She left. Life moves on.
Romba sad aguthu da bro,Don't worry bro. Time heals everything. We are there for you.
Enna saapida poren?,Biryani order pannuvom da. Hungry aaguthen.
Ayya paathu romba naal aguthu,Yes da. Should visit him this weekend only.
Chennai weather ippadi iruku,Romba hot da bro! AC illama irukave mudiyala.
Rain varumo?,Weather app paathen da. Tonight heavy rain possible.
Water problem iruka?,Yes da apartment la siru problem. Sorting out.
Auto rate romba jaasthi,Yes da bro! Meter podave maattanga. Robbery only.
Bus romba late aguthu,Local bus always late da. Better take metro.
Metro eppadi iruku?,Super da bro! AC and on time. Best option.
Nee driving license vaachi irukka?,Yes da. Got it last year. Finally!
Car vaangitta?,Not yet da. Saving money now.
Loan edukka plan iruka?,May be next year da. Interest rate paaka vendiyiruku.
House rent romba jaasthi,Chennai rent sky rocketing da bro. Roommate vettu share pannuvom.
Food delivery app use panra?,Yes Swiggy and Zomato daily da. Cooking lazy.
Cooking try panna?,One time tried da. Disaster only happened.
Enna cook panna?,Maggi only da bro. That also burnt.
Haha romba funny da,Don't laugh da bro. I tried my best!
Nee singing try panna?,Once tried bro. Family asked me to stop immediately.
Nee dance panna?,Full mass da bro! Annual day la first prize.
Kollywood latest movie patha?,Vettaiyan paatten da. Rajini sir super performance.
Thalapathy movie release aagutaa?,Yes da next month. Pre booking open aaguthu.
Anirudh music eppadi iruku?,Semma da bro. Every song is a banger.
OTT subscription iruka?,Netflix and Prime both da. Sharing with friends.
Squid Game season 2 patha?,Yes da! More intense than season 1.
Korean drama paakira?,My sister watches da. She is addicted.
