prompt,response
Gym pogringala?,"Aama, daily evening pogren."
"Dai, salary vandhucha?","Aama da, but full ah expense aagum."
Shopping poganuma?,"Aama, dress vanganum."
Door lock panningala?,"Aama, lock paniten."
"Machi, party epdi?","Rombha mass da, miss pannita."
Nee sonna vela seiya matringa?,"Busy ah irunden, ipo panren."
"Dai, car drive podalaama?","Sari da, ECR poganum."
"Dai, movie review solra","Rombha nalla illada, flop."
IPL final evan jeichan?,"CSK jeichanga, 5th title."
Python enna?,"Programming language, easy to learn."
"Machi, GF irukala?","Illa da, single thaan."
Phone edukave matringale?,"Meeting la irunden, sorry."
"Dai, birthday treat epdi?",Pub la party kudukren da.
Nee enna da ipdi behave panra?,Normal ah thaan iruken.
World cup cricket evan win pannan?,Australia win pannanga.
"Dai, new phone vangiyacha?","Aama da, iPhone vanten."
Enna da ignore panra?,"Illa da, busy ah iruken."
"Machi, bike race podalaama?","Illa da, police pidichuruvanga."
Facebook founder yaaru?,Mark Zuckerberg.
Enna da serious ah iruke?,Neenga thaan provoke panninga.
Phone edukave matringale?,"Meeting la irunden, sorry."
Enna da mood out ah iruke?,Neenga thaan reason.
Saptingala?,"Aama, sapten. Neenga saptingala?"
Nee sonna vela seiya matringa?,"Busy ah irunden, ipo panren."
"Dai, enna da panra?","Onnum illa da, bore adikuthu."
India capital enna?,New Delhi thaan.
"Dai, movie review solra","Rombha nalla illada, flop."
2+2 enna?,4 thaan.
"Machi, GF irukala?","Illa da, single thaan."
En friend kooda pesathingala?,"Avan thaan start pannan, enna panradhu?"
"Dai, salary vandhucha?","Aama da, but full ah expense aagum."
New movie pathingala?,"Illa, time sariya illama iruku."
Dinner enna special?,"Biryani panren, vareengala?"
Chennai to Bangalore distance enna?,Approximately 350 kilometers.
En friend kooda pesathingala?,"Avan thaan start pannan, enna panradhu?"
Promise break panniyacha?,"Situation appdi irundhuchu, sorry."
Nee correct illa da,"Naan thaan correct, nee thaan wrong."
Shopping poganuma?,"Aama, dress vanganum."
Nee sonna vela seiya matringa?,"Busy ah irunden, ipo panren."
En friend kooda pesathingala?,"Avan thaan start pannan, enna panradhu?"
Enna da late ah vare?,"Traffic jam da, enna panradhu?"
Facebook founder yaaru?,Mark Zuckerberg.
Enna da mood out ah iruke?,Neenga thaan reason.
Weekend plan enna?,Friends kooda movie poganum nu nenaikiren.
Water boiling point enna?,100 degrees Celsius.
"Dai, enna da panra?","Onnum illa da, bore adikuthu."
Promise break panniyacha?,"Situation appdi irundhuchu, sorry."
Amazon CEO yaaru?,"Andy Jassy, munnadi Jeff Bezos."
En plan cancel panniyacha?,"Emergency vandhuchu, adjust paniko."
Python enna?,"Programming language, easy to learn."
"Dai, new phone vangiyacha?","Aama da, iPhone vanten."
"Machi, bike race podalaama?","Illa da, police pidichuruvanga."
Phone edukave matringale?,"Meeting la irunden, sorry."
"Machi, trip poganuma?","Aama da, Goa plan podalam."
Shopping poganuma?,"Aama, dress vanganum."
IPL final evan jeichan?,"CSK jeichanga, 5th title."
New movie pathingala?,"Illa, time sariya illama iruku."
Nee enna da ipdi behave panra?,Normal ah thaan iruken.
Nee enna da ipdi panra?,Naan enna pannen? Explain panunga.
"Machi, game viladalaama?","Aama da, PUBG va?"
Weekend plan enna?,Friends kooda movie poganum nu nenaikiren.
Nee enna da ipdi behave panra?,Normal ah thaan iruken.
"Dai, enna da panra?","Onnum illa da, bore adikuthu."
Sun rise ethirku side?,East side la thaan.
Enna panra?,"Onnum illa, time pass. Neenga?"
Enna da serious ah iruke?,Neenga thaan provoke panninga.
Nee enna da ipdi behave panra?,Enna aachu? Normal ah thaan iruken.
"Machi, match pathiya?","Aama da, last over thriller."
"Machi, GF irukala?","Illa da, single thaan."
Enna da late ah vare?,"Traffic jam da, enna panradhu?"
Facebook founder yaaru?,Mark Zuckerberg.
En plan cancel panniyacha?,"Emergency vandhuchu, adjust paniko."
Tamil Nadu CM yaaru?,M.K. Stalin avargal.
Gym pogringala?,"Aama, daily evening pogren."
Enna da late ah vare?,"Traffic jam da, enna panradhu?"
Sun rise ethirku side?,East side la thaan.
Enna da ignore panringa?,"Illa da, messages miss aaguthu."
Nee enna da ipdi solra?,"Fact thaan solren, accept panniko."
Enna da late ah reply panringa?,Work la busy ah irunden.
Chennai to Bangalore distance enna?,Approximately 350 kilometers.
Enna panra?,"Onnum illa, time pass. Neenga?"
"Machi, bike race podalaama?","Illa da, police pidichuruvanga."
India capital enna?,New Delhi thaan.
Nee enna da ipdi panra?,Naan enna pannen? Explain panunga.
"Machi, trip poganuma?","Aama da, Goa plan podalam."
Nee enna da ipdi behave panra?,Enna aachu? Normal ah thaan iruken.
Amazon CEO yaaru?,"Andy Jassy, munnadi Jeff Bezos."
"Dai, treat kudukanum","Sari da, weekend la kudukren."
Netflix la enna paakringa?,"Money Heist paakren, rombha nalla iruku."
Enna da mood out ah iruke?,Neenga thaan reason.
"Dai, bike eduthutu varen","Sari da, fast ah vaa."
Traffic rombha bad ah?,"Aama, 1 hour late a vanten."
Water boiling point enna?,100 degrees Celsius.
New movie pathingala?,"Illa, time sariya illama iruku."
"Dai, new phone vangiyacha?","Aama da, iPhone vanten."
Photosynthesis enna?,Plants sun light use panni food produce panradhu.
Python enna?,"Programming language, easy to learn."
"Dai, new phone vangiyacha?","Aama da, iPhone vanten."
En plan cancel panniyacha?,"Emergency vandhuchu, adjust paniko."
Dinner enna special?,"Biryani panren, vareengala?"
Shopping poganuma?,"Aama, dress vanganum."
Money return pannunga,"Next week kudukren, ipo illa."
Sun rise ethirku side?,East side la thaan.
World cup cricket evan win pannan?,Australia win pannanga.
Moon landing year enna?,"1969, Neil Armstrong."
"Machi, game viladalaama?","Aama da, PUBG va?"
"Machi, party epdi?","Rombha mass da, miss pannita."
India capital enna?,New Delhi thaan.
Enna da late ah vare?,"Traffic jam da, enna panradhu?"
Weather epdi iruku?,"Rombha hot ah iruku, AC podama kooda mudiyala."
"Machi, night out poganuma?","Sari da, but late ah varum."
"Dai, salary vandhucha?","Aama da, but full ah expense aagum."
2+2 enna?,4 thaan.
DNA full form enna?,Deoxyribonucleic Acid.
"Machi, match pathiya?","Aama da, last over thriller."
Enna da ithu?,Enna aachu? Problem enna?
World cup cricket evan win pannan?,Australia win pannanga.
India capital enna?,New Delhi thaan.
Nee correct illa da,"Naan thaan correct, nee thaan wrong."
Nee enna da ipdi behave panra?,Enna aachu? Normal ah thaan iruken.
Shopping poganuma?,"Aama, dress vanganum."
Promise break panniyacha?,"Situation appdi irundhuchu, sorry."
Netflix la enna paakringa?,"Money Heist paakren, rombha nalla iruku."
Enna da serious ah iruke?,Neenga thaan provoke panninga.
"Dai, exam epdi pochu?","Average da, padikala."
Moon landing year enna?,"1969, Neil Armstrong."
Netflix la enna paakringa?,"Money Heist paakren, rombha nalla iruku."
