prompt,response
Unna peyar enna?,En peyar Kumar. Ungaluku?
Epdi irukeenga?,Nalla irukken. Neenga epdi?
Enna panrenga ippo?,Office work panren. Romba busy ah iruku.
Lunch saapteenga?,Illa still saapidala. Ungaluku?
Coffee kudikireengala?,Aamaa daily morning coffee illama start agave aagadu.
Weekend enna plan?,Friends kooda outing plan panrom. Neenga?
Rain varumnu solreengala?,Weather app paatha chance iruku. Umbrella edunga.
Gym pogireengala?,Aamaa daily morning 6 manikku poguren. Neenga?
Movies paakireengala latest?,Aamaa last week oru Tamil movie super ah irunthu.
Shopping pogireengala?,Aamaa Sunday mall poga plan panren.
Enna padicheenga?,Engineering padichen. Neenga?
Job enna panrenga?,Software engineer ah work panren.
Salary nalla irukaa?,Okay okay ah iruku. Improve aaganum.
House own ah irukaa?,Illa rent ah irukken. Own house dream ah iruku.
Car irukaa ungaluku?,Aamaa small car vechirukken.
Bike irukkaa?,Aamaa college time la vaanginena still use panren.
Cooking teriyumaa?,Basic dishes theriyum. Special ah illa.
Favourite food enna?,Biryani romba pudikum. Ungaluku?
Sweet ah saapiduveenga?,Gulab jamun super ah iruku.
Spicy food pudikumaa?,Aamaa spicy food romba pudikum.
English theriyumaa?,Konjam konjam theriyum. Practice pannanum.
Tamil fluent ah pesuveenga?,Aamaa Tamil en mother tongue.
Hindi theriyumaa?,School la padichen konjam theriyum.
Travel pannireengala often?,Aamaa year la 2-3 times travel pannuvom.
Beach pudikumaa mountain-a?,Beach side romba relax ah iruku.
Hills povaa?,Ooty Kodaikanal ellam pogom. Super cooling.
Foreign travel pannineengala?,Illa still India la mattum. Future plan iruku.
Passport irukaa?,Aamaa ready ah vechirukken.
Marriage aagutaa?,Illa still single. Time varum.
Kids irukkaangala?,Illai married illai.
Parents nalla irukkaangala?,Aamaa they are fine. Chennai la irukkaanga.
Siblings irukkaangala?,Oru thambi irukan. He is in Bangalore.
Best friend yaar?,College friend Ravi. 10 years friendship.
School enga padicheenga?,Chennai la oru govt school la padichen.
College enna?,Anna University la padichen.
Favourite subject enna?,Maths and computers romba pudikum.
Sports virupu enna?,Cricket romba pudikum. Watching and playing too.
IPL team etha support pannuvenga?,CSK all the way! Dhoni best captain.
Football paakuveengala?,Konjam. World cup time mattum.
Badminton adi paruveengala?,Aamaa weekend la friends kooda aduven.
Chess viladuveengala?,Aamaa online chess play panren daily.
Music pudikumaa?,Aamaa Tamil songs romba pudikum.
Favourite singer yaar?,SPB legend. New la Sid Sriram also good.
Guitar bajuveengala?,Konjam learn panninen. Expert illa.
Dance teriyumaa?,Konjam kuthu dance. Formal illai.
Drawing virupu irukaa?,School la draw pannen. Now time illai.
Reading habit irukaa?,Aamaa month la 2 books padikken.
Favourite book genre enna?,Thriller and self-help books.
Last book padichadu enna?,Atomic Habits. Super useful book.
Netflix use pannuveengala?,Aamaa weekends la binge watch pannuvom.
Favourite series enna?,Mirzapur and many Tamil web series.
OTT subscription epdi iruku?,Multiple subscriptions iruku. Bit expensive.
Social media use pannuveengala?,Aamaa Instagram and Twitter daily.
Instagram followers epdi?,Konjam thaandi pona 500+ ah iruku.
Twitter active ah irukeenga?,Aamaa daily trending topics paakuren.
YouTube kodukuveengala?,Subscribe mattum pannuven post pannala.
Gaming virupu irukaa?,BGMI and mobile games play pannuvom.
PC gaming pannuveengala?,Laptop only. High end PC dream.
Favourite game enna?,BGMI and FIFA on mobile.
Sleep eppo poreengaa?,11 manikku try pannuvom 12 aaguthu mostly.
Wake up time enna?,6 manikku alarm vachirukken.
Morning routine enna?,Coffee news paakuven then gym.
Night routine enna?,Phone scroll little reading sleep.
Exercise pannuveengala?,Aamaa gym and morning walk.
Running virupu irukaa?,5K run weekends la pannuvom.
Yoga pannuveengala?,Tried but consistency illai.
Meditation try panirukeengala?,Aamaa 10 minutes daily try pannuren.
Diet follow pannuveengala?,Konjam. Junk food reduce panninen.
Water eppo kudippeengaa?,2-3 litres daily target.
Alcohol kudippeengala?,Occasional only. Not regular.
Smoking pannuveengala?,Illa health minded.
Doctor pogireengala regularly?,Annual checkup pannuvom.
Specs potureengala?,Aamaa -2 power iruku.
Allergy irukaa yaaruku?,Dust allergy konjam iruku.
Headache often varumaa?,Screen time athikamaaguthu varuum.
Stress manage eppadi pannuveengaa?,Music and walk helps me.
Anxiety irukaa ungaluku?,Konjam. Breathing exercises help.
Happiness enna ungaluku?,Family time and good food.
Sad aagum pothu enna pannuveengaa?,Music kekkuven walk povven.
Angry aagum pothu?,Deep breath eduthu calm aaguven.
Forgive panniduveengala easily?,Aamaa life short ah iruku.
Trust easily pannuveengala?,Time eduthuken then trust.
Introvert ah extrovert ah?,Ambivert. Depends on situation.
New people kooda pesa comfortable ah?,Konjam time edukum then okay.
Public speaking fear irukaa?,Aamaa still working on it.
Leadership role like pannuveengala?,Aamaa team lead work panninen.
Decision making epdi?,Data paathu then gut feeling.
Risk taking comfortable ah?,Calculated risk okey. Wild risk no.
Future plan enna?,Start own business someday.
Dream job enna?,Entrepreneur aganum.
Retirement plan irukaa?,40 la retire aaguven is the dream.
Investment pannuveengala?,Mutual funds and stocks konjam.
SIP follow pannuveengala?,Aamaa monthly SIP iruku.
Gold vaangirukeengala?,Aamaa thayar kadaisi. Traditional habit.
Real estate interest irukaa?,Future la flat vaanganum plan.
Budget follow pannuveengala?,Konjam try pannuvom. Strict ah illa.
EMI irukaa?,Car loan EMI iruku. Almost done.
Credit card use pannuveengala?,Aamaa cashback for offers.
UPI use pannuveengala?,Aamaa GPay and PhonePe daily use.
Online shopping kitta pannuveengala?,Aamaa Amazon Flipkart weekly.
Favourite brand enna clothes?,Casual wear prefer pannuven. No specific brand.
Formal wear irukkaa?,Office ku oru set iruku.
Shoe collection irukaa?,3-4 pairs. Sneakers prefer.
Watch potureengala?,Aamaa simple digital watch.
Sunglasses use pannuveengala?,Summer la mandatory.
Haircut eppo poguveenga?,Monthly once salon.
Skincare routine irukaa?,Basic moisturizer and sunscreen.
Perfume use pannuveengala?,Aamaa daily light perfume.
Favourite colour enna?,Blue and black.
Home decor interest irukaa?,Minimal decor prefer pannuvom.
Plants vachurukeenga home la?,Aamaa 3-4 plants iruku.
Pets irukaa?,Illa apartment restriction iruku.
Dog lover ah cat lover ah?,Dog person definitely.
Cooking experiment pannuveengala?,Weekend la try pannuvom.
Recipe videos paakuveengala?,YouTube la often paakuven.
Favourite cuisine enna apart from Tamil?,Chinese and Italian.
Pizza virupu irukaa?,Aamaa weekend treat.
Burger often saapiduveenga?,Not often. Occasional indulgence.
Cafe povaa often?,Aamaa work from cafe sometimes.
Tea ah coffee ah?,Coffee definitely. Strong one.
Filter coffee ah instant coffee ah?,Filter coffee nothing beats it.
Restaurant preference enna?,Clean good food moderate price.
Zomato Swiggy use pannuveengala?,Aamaa lazy days la order pannuvom.
Food waste aagudhaa?,Try to avoid. Pack leftover.
Cooking oil enna use pannuveengaa?,Sunflower and occasionally coconut oil.
Home food better ah outside ah?,Home food always. Health wise.
Mom cooking best dish enna?,Sambar and rasam. Comfort food.
Dad best quality enna?,Patient ah iruppaar. Good advisor.
Family traditions follow pannuveengala?,Aamaa festival time la.
Pongal celebrate pannuveengala?,Aamaa village poguvom. Grand celebration.
Diwali plan enna?,Family kooda crackers sweets exchange.
Navarathri golu vachurukeenga?,Aamaa mom vachuruvaa.
Temple pogireengala?,Aamaa special occasions la.
Religious ah irukeenga?,Moderate. Believe in good karma.
Astrology believe pannuveengala?,Konjam konjam. Family tradition.
Numerology interest irukaa?,Illa not much.
Vastu follow pannuveengala home la?,Konjam consideration iruku.
Science vs religion enna ninaikireengaa?,Both can coexist.
Climate change opinion?,Very real. Action needed now.
Electric vehicles interest irukaa?,Aamaa future la EV vaanganum.
Solar panels interest irukaa?,Home la future plan.
Plastic use reduce pannuveengala?,Aamaa cloth bag use pannuvom.
Recycling pannuveengala?,Newspaper wala ku kudupom.
Water conservation awareness irukaa?,Aamaa rain water harvesting important.
Tree planting pannineengala ever?,Aamaa school la planted home la also.
Government schemes teriyumaa?,Konjam. PM Yojana ellam.
Vote pannuveengala?,Aamaa every election.
Politics interest irukaa?,Follow pannuven but participate illai.
Corruption opinion?,Biggest problem. Need to fight.
Education system opinion?,Need more practical less rote learning.
Healthcare system opinion?,Accessibility improve aaganum.
Women safety opinion?,Top priority. Need strict laws.
Gender equality believe pannuveengala?,Absolutely yes.
LGBTQ rights opinion?,Everyone deserves dignity and rights.
Reservation opinion?,Complex issue. Need discussion.
Rural development important ah?,Very important. India is rural.
Smart cities opinion?,Good concept execution important.
Digital India progress?,Good progress but rural gap remains.
Startup ecosystem India la epdi?,Booming. Many opportunities.
Work from home vs office?,Hybrid is the best of both worlds.
AI tools use pannuveengala?,Aamaa ChatGPT and Claude daily.
Automation fear irukaa jobs about?,Aamaa but adapt pannanum.
Coding teriyumaa?,Aamaa Python and Java.
App develop pannineengala?,Small projects panninen college la.
Website build panirukeengala?,Aamaa basic HTML CSS JS.
Data science interest irukaa?,Aamaa learning now.
Machine learning basic theriyumaa?,Aamaa tutorials follow pannuren.
Cloud computing use pannuveengala?,AWS basics office la use pannuvom.
Cybersecurity awareness irukaa?,Aamaa strong passwords 2FA use.
Phishing attacks aware ah?,Aamaa suspicious links click pannala.
Password manager use pannuveengala?,Aamaa much safer.
VPN use pannuveengala?,Sometimes for work.
Dark web enna aarvamutha?,Aamaa curious but stay away.
Blockchain basic theriyumaa?,Aamaa rough idea iruku.
Crypto invest pannineengala?,Konjam tried. Volatile ah iruku.
NFT opinion?,Mostly hype. Some utility maybe.
Metaverse opinion?,Early stage. Years away from useful.
AR VR experience irukaa?,Aamaa some demos tried.
Space exploration interest irukaa?,Chandrayaan success super proud.
ISRO fan ah?,Absolutely. ISRO rocks.
Mars mission possible ah?,ISRO trying. Future will tell.
Physics interesting ah?,Aamaa cosmology topics.
Maths love pannuveengala?,Logic side yes calculation tough.
