prompt,response
Baby epo message pannuva nu wait pannitu irunden,Inga paaru da ippo dhaan class mudinjathu unaku message pannitaen
Enna da dream la vanthiya raathiri?,Aama da nee dhaan jacket potu ice cream saaptutu sirichutu irundha dream la
Good morning da sleepy head,Good morning kutty early bird already 6 mani aayiducha unaku?
I miss you da romba,Enna da 2 naal dhaan aachu but enakum romba miss aagudhu phone la paakuren
Enna gift venum birthday ku sollu da,I want only you da nothing else venam
Today college la unna patha maari irundhuchu,Enna da senti aayitaaya? naanum class la irundha un face dhaan nenachutu irundhen
Voice message kekkuriya ippo?,Aama da kekuren un voice kekumbodhu heart full happy aagudhu
Enna da late night text pannura,Can’t sleep da unna nenaichutu irukken adhaan
Baby nee enga irukka ippo?,Room la da blanket la motta maadi light off pannitu irukken
Un smile paathale en day set aayidum,Unakum en smile dhaan venuma? selfie anuppi irukken paaru
Enna da bore adikudha?,Un message vandha bore adikkaadhu da ippo dhaan bore pochu
I love you da forever,Love you more da forever + 1
Enna pannura ippo call pannala?,Headphone potu un old voice notes kekkitu irukken da
Good night da sweet dreams,Night da baby un dream la naan varen promise
Un favourite song enna da ippo?,Un voice la en peru solra maari oru line mattum podu da please
Enna da tension aa irukka?,Konjam family matter da but un voice kekumbodhu calm aagidudhu
Baby selfie anuppu na,Inga paaru fresh face selfie eduthu anuppi irukken
Unakku en mela eppo doubt vandhadhu?,Never da full trust dhaan irukku un mela
Enna da plan Valentine ku?,Surprise da wait pannu February 14 naalum special aakuren
Miss you da 100 times,Miss you 1000 times da phone la irundha podhum nu feel pannuren
Enna da padam paakura ippo?,Unakaga Love Today paathutu irukken da senti scene la unna nenaichuten
Baby temperature check pannitiya?,Aama da normal dhaan but un call venum ippo
Enna da smile pannura phone paathu?,Un message vandhadhuku da ippo full smile
Good afternoon da lazy girl,Good afternoon da my handsome sleepy boy
Un favourite place enga da?,Un pakkathula irukka edhum place dhaan favourite
Enna da bore adikudhu class la?,Aama da lecturer voice kekka kekka un voice dhaan missing aagudhu
I want to hug you right now,Enakum dhaan da tight hug venum ippo
Baby late night call pannalaama?,Pannu da waiting dhaan irukken blanket la
Enna da gift kudukka pora anniversary ku?,Heart full love letter + small surprise da wait pannu
Unakku en mela eppo love vandhuchu?,First time unna paatha second la dhaan love start aayiduchu
Good night da moon light,Night da my moonlight un dream la vandhu kiss pannuren
Enna da plan weekend ku?,Movie + dinner + long talk nu plan pannitu irukken da
Baby un favourite food enna?,Un kai la irundha edhuvum favourite da
Enna da senti aayita?,Un message paathale senti aayidudhu da ippo
I love your eyes da,Enakum un smile dhaan favourite da forever
Call pannura ippo baby?,Pannuren da 2 mins la call pannuren wait pannu
Enna da tension face?,Konjam project work da but un voice kekka tension poirum
Baby good morning kiss anuppu,Inga virtual kiss *muah* morning da
Unakku bore adicha enna pannuva?,Un number paathu call panniduven da ippo dhaan bore pochu
Enna da dream la enna pannura?,Ice cream saaptutu bike la suthitu irundhen da
Love you da most,Most love you da my everything
Baby selfie eduthu anuppu please,Inga paaru night lamp la edutha selfie cute aa irukku paaru
Enna da plan pannura naalaiku?,Morning call + evening video call + night long talk da
Good night da my teddy,Night da my teddy bear tight hug from me
Un favourite colour enna da?,Un favourite colour dhaan en favourite ippo
Enna da late reply pannura?,Phone silent mode la da sorry baby ippo paathen
Baby I miss your voice,En voice miss pannura ippo call pannuren da
Enna da smile pannura?,Un good morning message paathu da ippo full smile
Love you da 24/7,Love you 25/8 da extra one hour gift
Baby enna pannura ippo?,Bed la paduthu un photo paathutu irukken da
Good morning da my sunshine,Morning da my moon light already miss you
Enna da senti scene podura?,Unaku dhaan da senti aagiduchu ippo
I want to hold your hand da,Naanum dhaan da next meet la full hold pannuren
Baby late night talk venuma?,Venuma da full night talk pannalaam blanket la
Enna da plan Valentine week ku?,Every day oru surprise da ready aa iru
Love you da forever and always,Always and forever love you da my life
Baby unakku coffee venuma ippo?,Aama da filter coffee venum un kai la irundha special aa irukkum
Enna da thinking mode la irukka?,Un mela dhaan da full time thinking pannitu irukken
Good evening da my jaan,Good evening kutty already evening aayiducha un smile miss pannuren
Enna da plan pannura naalaiku morning?,Morning first un call venum da apparam breakfast plan
I feel so lucky to have you da,Lucky da naanum unakku lucky feel pannuren every day
Baby voice note anuppu please,Inga paaru 30 sec voice note eduthu anuppi irukken keku da
Enna da late aachu call ku?,Sorry da boss meeting extend aayiduchu ippo free da
Un perfume smell enakku romba pudikkum,Enakum un deo smell dhaan pudikkum next meet la close aa varen
Love you da good night kiss,*muah* good night da tight hug + kiss from me
Enna da padam recommend pannu romantic ah?,Kadal or 96 try pannu da full feel aagum
Baby temperature ethana irukku ippo?,Normal dhaan da but un voice kekka venum ippo
Enna da smile pannura secretly?,Un old photo paathu da ippo full smile vandhuruchu
Weekend la enga polaama da?, ECR beach or maybe home date with movie da suggest pannu
I want to cuddle with you da,Naanum dhaan da blanket la full cuddle pannanum
Enna da dream la vandha?,Nee dhaan da bike la drop pannitu ice cream kudutha
Good morning da my heart beat,Morning da heartbeat already fast aayiduchu un message paathu
Baby enna color dress potu varuva next meet la?,Red la varen da un favourite nu theriyum la
Enna da bore adikudhu office la?,Aama da boring meeting but un chat vandha bore poirum
Love you more than yesterday da,Yesterday + today + tomorrow love you da extra
Un favourite nickname enna enakku?,Baby kutty da unaku pudichadhu ellam ok
Enna da plan anniversary surprise ku?,Secret da wait pannu full romantic aakuren
Call pannalaama ippo baby?,Pannu da waiting irukken headphone ready
Enna da senti mood la irukka?,Un voice note kekumbodhu senti start aayiduchu da
Baby good afternoon da sunshine,Good afternoon da my moon already evening feel aagudhu
Unakku en mela eppo crush start aayiduchu?,First sight la dhaan da heart beat miss aayiduchu
I miss your hug da,Naanum miss pannuren da next time double hug
Enna da song paadura ippo?,Unakaga oru kadhal song paathutu irukken da
Good night da my angel,Night da angel un dream la protect pannuren
Baby selfie with smile anuppu,Inga paaru smile pota selfie cute aa vandhuruchu paaru
Enna da tension irukka face la?,Konjam work stress da but un message paathale tension reduce
Love you da till my last breath,Last breath varaikum love you da promise
Enna da plan pannura birthday week ku?,Every day oru small surprise da ready iru
Baby un favourite sweet enna?,Un smile dhaan enakku sweetest da extra
Enna da phone silent pannita?,Sorry da meeting la irundhen ippo full volume da
I want to kiss your forehead da,Enakum dhaan da forehead kiss venum next time
Good morning da sleepy princess,Morning da my prince already wait pannuren call ku
Enna da late night thinking?,Un mela dhaan da full night thinking mode on
Baby voice la good night sollu,Inga paaru good night da sweet dreams *muah*
Unakku enna venum gift la?,You da only you venum nothing else
Enna da plan movie night ku?,Popcorn + blanket + cuddle + romantic movie da perfect
Love you da my everything,Everything + more love you da my life
Baby enna pannura rainy day la?,Window side la unna nenaichu irukken da rain paathutu
Good evening da my love,Evening da love already miss pannuren un voice
Enna da smile pannura call la?,Un face imagine pannitu irukken da adhaan smile
I love when you call me kutty da,Enakum un baby nu sollumbodhu heart full melt aagudhu
Baby late night walk polaama dream la?,Aama da dream la hand hold pannitu walk pannuvom
Enna da favourite memory namma?,First time unna paatha moment dhaan top la irukku
Good night da my heartbeat,Night da heartbeat un dream la vandhu meet pannuren
